date ;Line;Zone 1;Zone 2;Zone 3;NEW Z1;NEW Z3
03/10/2022;Control;0,05;0,05;0,09;;
03/10/2022;O+M;0,22;1,6;0,3;;
03/10/2022;R+FN;0,58;1,6;0,9;;
03/10/2022;M+O+FV;0,2;0,43;0,44;;
03/10/2022;O+FV;0,94;1,44;0,93;;
03/10/2022;O;0,88;1,1;1,55;;
03/10/2022;R;0,84;12,71;0,8;;
03/10/2022;FN;0,53;0,34;0,38;;
03/10/2022;R+O;1,66;1,38;1,46;;
03/10/2022;O+FN;0,88;0,9;0,63;;
03/10/2022;FV;0,32;0,35;0,6;;
03/10/2022;M+FV;0,6;0,71;0,3;;
03/10/2022;R+O+FN;0,42;0,74;0,36;;
03/10/2022;M;2,3;1,18;1,05;;
10/10/2022;Control;0,08;0,21;0,25;;
10/10/2022;O+M;0,39;8,42;0,25;;
10/10/2022;R+FN;0,76;1,6;2,11;;
10/10/2022;M+O+FV;3;5,35;6,75;;
10/10/2022;O+FV;2,92;8,79;7,62;;
10/10/2022;O;2,25;3,88;6,38;;
10/10/2022;R;4,93;12,71;1,64;;
10/10/2022;FN;1,38;0,9;1,93;;
10/10/2022;R+O;5,3;7,04;6,42;;
10/10/2022;O+FN;1,04;1,8;2,35;;
10/10/2022;FV;5,06;12,25;7,14;;
10/10/2022;M+FV;2,68;10,44;4,68;;
10/10/2022;R+O+FN;0,72;1,77;1,7;;
10/10/2022;M;4,06;1,57;3,75;;
18/10/2022;Control;3;6,22;14,29;;
18/10/2022;O+M;13,31;45,88;18,07;;
18/10/2022;R+FN;13,71;51,47;45,12;;
18/10/2022;M+O+FV;15,11;16,64;32,27;;
18/10/2022;O+FV;18,25;28,19;35,88;22,53;
18/10/2022;O;13,42;22,44;24,8;;
18/10/2022;R;29,29;63,04;27,1;;
18/10/2022;FN;15,35;23,49;17,42;;
18/10/2022;R+O;34,72;34,58;45,04;;
18/10/2022;O+FN;16,56;14,99;19,2;;
18/10/2022;FV;21,63;31,02;28,27;36,24;
18/10/2022;M+FV;27,23;50,56;21,98;18,87;22,27
18/10/2022;R+O+FN;11,99;22,26;17,77;;
18/10/2022;M;50,15;32,37;25,03;;
24/10/2022;Control;6,42;14,19;32,51;;
24/10/2022;O+M;29,53;72,32;29,24;;
24/10/2022;R+FN;26,05;80,51;74,14;;
24/10/2022;M+O+FV;20,69;26,74;52,42;;
24/10/2022;O+FV;30,05;39,95;54,05;28,95;
24/10/2022;O;24,03;37,38;37,05;;
24/10/2022;R;50,14;88,38;52,07;;
24/10/2022;FN;24,15;44,47;29;;
24/10/2022;R+O;62,87;59,85;73,46;;
24/10/2022;O+FN;29,04;26,14;36,22;;
24/10/2022;FV;36,5;41,64;39,29;42,48;
24/10/2022;M+FV;42,46;68,06;36,62;27,55;36,64
24/10/2022;R+O+FN;18,79;35,92;26,1;;
24/10/2022;M;75,79;50,14;47,96;;
03/11/2022;Control;14,83;27,99;60,19;;
03/11/2022;O+M;52,64;85,01;47,39;;
03/11/2022;R+FN;37,73;95,31;89,91;;
03/11/2022;M+O+FV;32,47;42,97;76,19;;
03/11/2022;O+FV;42,2;55,13;77,57;36,03;
03/11/2022;O;33,59;62,37;58,54;;
03/11/2022;R;76,6;96,25;64,66;;
03/11/2022;FN;26,25;58,15;48,18;;
03/11/2022;R+O;85,59;82,83;88,96;;
03/11/2022;O+FN;38,48;32,6;57,1;;
03/11/2022;FV;43,61;46,65;60,58;69,56;
03/11/2022;M+FV;72,1;90,35;56,97;44,98;53,27
03/11/2022;R+O+FN;26,72;44,06;40,5;;
03/11/2022;M;88,5;69,41;68,72;;
07/11/2022;Control;14,74;30,76;54,34;;
07/11/2022;O+M;59,16;87,65;40,4;;
07/11/2022;R+FN;26,83;92,49;92,67;;
07/11/2022;M+O+FV;28,07;45,23;81,09;;
07/11/2022;O+FV;37,19;55,88;71,09;35,45;
07/11/2022;O;27,69;64,64;54,09;;
07/11/2022;R;70,03;96,91;62,93;;
07/11/2022;FN;27,65;65,79;40,52;;
07/11/2022;R+O;90,23;83,7;83,18;;
07/11/2022;O+FN;37,87;33,6;53,14;;
07/11/2022;FV;40,7;48,04;65,28;72;
07/11/2022;M+FV;70,64;94,97;53,9;39,95;44,6
07/11/2022;R+O+FN;21,61;41,31;15,16;;
07/11/2022;M;95,99;68,06;78;;
