date ;Line;Zone 1;Zone 2;Zone 3;NEW Z1;NEW Z3;;;;;
03/10/2022;1;0,05;0,05;0,09;;;;;;;
03/10/2022;2;0,22;1,60;0,30;;;;;;;
03/10/2022;3;0,58;1,60;0,90;;;;;;;
03/10/2022;4;0,20;0,43;0,44;;;;;;;
03/10/2022;5;0,94;1,44;0,93;;;;;;;
03/10/2022;6;0,88;1,10;1,55;;;;;;;
03/10/2022;7;0,84;12,71;0,80;;;;;;;
03/10/2022;8;0,53;0,34;0,38;;;;;;;
03/10/2022;9;1,66;1,38;1,46;;;;;;;
03/10/2022;10;0,88;0,90;0,63;;;;;;;
03/10/2022;11;0,32;0,35;0,60;;;;;;;
03/10/2022;12;0,60;0,71;0,30;;;;;;;
03/10/2022;13;0,42;0,74;0,36;;;;;;;
03/10/2022;14;2,30;1,18;1,05;;;;;;;
10/10/2022;1;0,08;0,21;0,25;;;;;;;
10/10/2022;2;0,39;8,42;0,25;;;;;;;
10/10/2022;3;0,76;1,60;2,11;;;;;;;
10/10/2022;4;3,00;5,35;6,75;;;;;;;
10/10/2022;5;2,92;8,79;7,62;;;;;;;
10/10/2022;6;2,25;3,88;6,38;;;;;;;
10/10/2022;7;4,93;12,71;1,64;;;;;;;
10/10/2022;8;1,38;0,90;1,93;;;;;;;
10/10/2022;9;5,30;7,04;6,42;;;;;;;
10/10/2022;10;1,04;1,80;2,35;;;;;;;
10/10/2022;11;5,06;12,25;7,14;;;;;;;
10/10/2022;12;2,68;10,44;4,68;;;;;;;
10/10/2022;13;0,72;1,77;1,70;;;;;;;
10/10/2022;14;4,06;1,57;3,75;;;;;;;
18/10/2022;1;3,00;6,22;14,29;;;;;;;
18/10/2022;2;13,31;45,88;18,07;;;;;;;
18/10/2022;3;13,71;51,47;45,12;;;;;;;
18/10/2022;4;15,11;16,64;32,27;;;;;;;
18/10/2022;5;18,25;28,19;35,88;22,53;;;;;;
18/10/2022;6;13,42;22,44;24,80;;;;;;;
18/10/2022;7;29,29;63,04;27,10;;;;;;;
18/10/2022;8;15,35;23,49;17,42;;;;;;;
18/10/2022;9;34,72;34,58;45,04;;;;;;;
18/10/2022;10;16,56;14,99;19,20;;;;;;;
18/10/2022;11;21,63;31,02;28,27;36,24;;;;;;
18/10/2022;12;27,23;50,56;21,98;18,87;22,27;;;;;
18/10/2022;13;11,99;22,26;17,77;;;;;;;
18/10/2022;14;50,15;32,37;25,03;;;;;;;
24/10/2022;1;6,42;14,19;32,51;;;;;;;
24/10/2022;2;29,53;72,32;29,24;;;;;;;
24/10/2022;3;26,05;80,51;74,14;;;;;;;
24/10/2022;4;20,69;26,74;52,42;;;;;;;
24/10/2022;5;30,05;39,95;54,05;28,95;;;;;;
24/10/2022;6;24,03;37,38;37,05;;;;;;;
24/10/2022;7;50,14;88,38;52,07;;;;;;;
24/10/2022;8;24,15;44,47;29,00;;;;;;;
24/10/2022;9;62,87;59,85;73,46;;;;;;;
24/10/2022;10;29,04;26,14;36,22;;;;;;;
24/10/2022;11;36,50;41,64;39,29;42,48;;;;;;
24/10/2022;12;42,46;68,06;36,62;27,55;36,64;;;;;
24/10/2022;13;18,79;35,92;26,10;;;;;;;
24/10/2022;14;75,79;50,14;47,96;;;;;;;
03/11/2022;1;14,83;27,99;60,19;;;;;;;
03/11/2022;2;52,64;85,01;47,39;;;;;;;
03/11/2022;3;37,73;95,31;89,91;;;;;;;
03/11/2022;4;32,47;42,97;76,19;;;;;;;
03/11/2022;5;42,20;55,13;77,57;36,03;;;;;;
03/11/2022;6;33,59;62,37;58,54;;;;;;;
03/11/2022;7;76,60;96,25;64,66;;;;;;;
03/11/2022;8;26,25;58,15;48,18;;;;;;;
03/11/2022;9;85,59;82,83;88,96;;;;;;;
03/11/2022;10;38,48;32,60;57,10;;;;;;;
03/11/2022;11;43,61;46,65;60,58;69,56;;;;;;
03/11/2022;12;72,10;90,35;56,97;44,98;53,27;;;;;
03/11/2022;13;26,72;44,06;40,50;;;;;;;
03/11/2022;14;88,50;69,41;68,72;;;;;;;
07/11/2022;1;14,74;30,76;54,34;;;;;;;
07/11/2022;2;59,16;87,65;40,40;;;;;;;
07/11/2022;3;26,83;92,49;92,67;;;;;;;
07/11/2022;4;28,07;45,23;81,09;;;;;;;
07/11/2022;5;37,19;55,88;71,09;35,45;;;;;;
07/11/2022;6;27,69;64,64;54,09;;;;;;;
07/11/2022;7;70,03;96,91;62,93;;;;;;;
07/11/2022;8;27,65;65,79;40,52;;;;;;;
07/11/2022;9;90,23;83,70;83,18;;;;;;;
07/11/2022;10;37,87;33,60;53,14;;;;;;;
07/11/2022;11;40,70;48,04;65,28;72,00;;;;;;
07/11/2022;12;70,64;94,97;53,90;39,95;44,60;;;;;
07/11/2022;13;21,61;41,31;15,16;;;;;;;
07/11/2022;14;95,99;68,06;78,00;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
