date;line;nature;treatment;z1;z2;z3;;
08/11/2022;1;mix;No;4,37;0,8;5,61;;
08/11/2022;2;mix;Yes;18,91;2,03;27,89;;
08/11/2022;3;mix;Yes;20,29;36,25;71,11;;
08/11/2022;4;mix;Yes;13,4;14,56;55,33;33,3;
08/11/2022;5;mix;Yes;31,28;11,15;51,87;;
08/11/2022;6;monoculture;Yes;12,82;12,71;11,09;;
08/11/2022;7;monoculture;Yes;12,98;4,51;34,11;;
08/11/2022;8;monoculture;Yes;12,93;45,95;15,63;;
08/11/2022;9;mix;Yes;41,67;1,55;39,21;;
08/11/2022;10;mix;Yes;27,53;5,37;34,27;69,82;
08/11/2022;11;monoculture;Yes;27,35;2,05;29,75;42,07;53,37
08/11/2022;12;mix;Yes;51,68;6,78;23,82;;
08/11/2022;13;mix;Yes;16,81;21,87;23,89;;
08/11/2022;14;monoculture;Yes;61,38;35,66;11,09;;
