Date;Line ;Specie ;nature;legumes;Z1;Z1;Z1;Z1;Z1;Z2;Z2;Z2;Z2;Z2;Z3;Z3;Z3;Z3;Z3
17/10;2;Barley;mix;no;101,4;63,9;97,9;53,4;42,9;63,7;101;99,4;101;95,9;25,2;38,3;47,3;35,7;44,1
17/10;2;Mustard;mix;no;35,7;58,3;36,5;36,8;35,6;31,2;29,3;29,2;28;31,6;29,3;28,9;30,3;29,2;28,8
17/10;3;Radish;mix;yes;36,9;36,2;34,7;34,3;33,8;35,1;31,1;33,4;33,5;33,1;27,2;26,4;26,7;31,6;25,6
17/10;3;Fenugreek;mix;yes;47,4;49,1;54;47,4;47,6;46,7;44,4;45,3;45,1;45,8;43,1;42,9;37,8;43,5;44,2
17/10;4;Barley;mix;yes;34,9;36,6;39,3;;39,3;87,3;38,4;96,6;82;58,6;27;29,4;31,6;28,6;30
17/10;4;Faba bean;mix;yes;42,5;44,9;44,1;44,1;44,8;38,1;52,4;40,2;51,5;50,1;66,2;43,3;43,2;45,6;43,4
17/10;4;Mustard;mix;yes;41,5;39,3;34,6;34,4;35,4;32,2;36,9;33,3;32,6;34,2;20,1;31,8;31,5;31,5;31,7
17/10;5;Barley;mix;yes;34,3;44,6;42,3;41,2;36,9;37,9;39,6;37,3;37,4;37,4;40,8;41,1;41;41,1;41,2
17/10;5;Faba bean;mix;yes;41,1;41,6;43;41,8;42;35,6;47,2;37,7;36,3;35,8;43,7;41;38,5;41,7;41,8
17/10;6;Barley;mono;no;43;40,8;41,9;39,4;41,4;52,7;114,3;94,4;101,8;92,8;31,5;37,3;35,6;36,5;36,3
17/10;7;Radish;mono;no;44,8;39,3;30;33;28,4;30,9;32,3;32,9;29,7;32,5;25,6;26,2;27,1;27,7;26,9
17/10;8;Fenugreek;mono;yes;39,8;39,1;41,2;40,6;41,6;46,1;45,4;45,7;45,2;45,5;40,5;42,9;42,3;61,7;61,1
17/10;9;Radish;mix;no;30,9;29,5;29;29,1;29,2;34,5;37,4;34,1;37,4;36,3;30,9;30,6;30,7;29,5;31
17/10;9;Barley;mix;no;39,5;37,6;36,4;38,2;35,8;38,1;39,3;39,4;38;38,5;41,9;40,3;42,3;43,2;44,1
17/10;10;Fenugreek;mix;yes;48,5;53,5;52,5;47,7;54;;;;40;39,8;38,3;42,8;39,9;39,7;79,9
17/10;10;Barley;mix;yes;11,9;55,5;41,7;40,3;40,7;27,5;26,2;19,9;25,9;23,2;38,7;39;39,4;38,9;40,1
17/10;11;Faba bean;mono;yes;;46,7;46,3;45,9;46,4;44,5;51,7;50,4;51,5;52;37,5;33,7;36,9;35,4;34,4
17/10;12;Mustard;mix;yes;34,9;32,8;33,4;34;32,8;29,4;;21;20,8;26,9;34,3;34,1;35,6;28,6;29,9
17/10;12;Faba bean;mix;yes;43,7;43,8;43,5;43,8;43,9;38,3;38,7;37,3;38,8;38,2;41,2;41;41;40,6;
17/10;13;Radish;mix;yes;24,4;24,3;24;24,2;24,3;30,1;29,8;30,1;29,9;29,6;28,5;27,7;27,9;28,9;29
17/10;13;Barley;mix;yes;35,9;36,8;37,4;37,2;37,9;39,5;38,8;38,8;38,9;39,4;42,7;36,5;37,3;37,1;37,2
17/10;13;Fenugreek;mix;yes;45;45,2;45,3;47;47,5;40,8;38,7;;41;38,1;42,7;43,6;44,2;45,6;45,2
17/10;14;Mustard;mono;no;30,7;31,1;;31,7;32;31,1;31,7;32,4;31,9;31,3;31,1;30,8;30,7;30,8;39,8
07/11;2;Barley;mix;no;35,3;35,8;34,2;33,7;33,6;47,5;47,9;47,6;47,2;46,4;41;40,6;39,1;38,4;37,5
07/11;2;Mustard;mix;no;29,8;28,8;29,1;28,9;30,1;30;28,7;28,4;28,9;28,8;28,7;28,8;28,5;28,6;28,5
07/11;3;Radish;mix;yes;30,7;30,5;30,5;30,5;30,7;35,1;35,7;35,8;36,3;36,4;24,7;24,3;23,8;24;23,8
07/11;3;Fenugreek;mix;yes;32,9;29,7;29,5;25,6;27;45,8;46;44,7;41,3;41;32,5;34,1;30,8;30,1;29,9
07/11;4;Barley;mix;yes;30,8;28,6;27,6;25,9;26,1;46;47,5;47,3;47,3;47,2;28,3;28,2;28,5;28,4;28,4
07/11;4;Faba bean;mix;yes;40,9;40,4;40,1;40,4;40,3;44,2;34,4;34,9;34,8;34,7;39,2;39,3;37,9;37,6;37,7
07/11;4;Mustard;mix;yes;30,9;30,3;30,5;29,9;29,9;31,3;31,1;30,8;30,8;30,8;30;29,8;29,9;30,3;30
